id;id_textual;nom;activat;visible_publicacio;id_pare
52756;JORDICUIXART;Jordi Cuixart;0;1;52099
52823;JORDPUIGNERO;Jordi Puigneró;0;1;52099
54108;JORDIPUJOL;Jordi Pujol;0;0;52099
52755;JORDISANCHEZ;Jordi Sànchez;0;0;52099
52752;JORDITURULL;Jordi Turull;0;0;52099
53393;ABALOS;José Luis Ábalos;0;0;52099
52597;SAMPEDRO;José Luis Sampedro;0;0;52099
53148;VILLAREJO;José Manuel Villarejo;0;0;52099
53405;AZNAR;José María Aznar;0;0;52099
54440;CASTELLVI;Josefina Castellví ;0;1;52099
52816;JOSBARGALLO;Josep Bargalló;0;1;52099
52595;BENET;Josep Benet;0;0;52099
52902;BORRELL;Josep Borrell;0;0;52099
53404;JOSEPBOU;Josep Bou;0;1;52099
53690;JOSEPCARNER;Josep Carner;0;0;52099
55294;CAMBRAY;Josep Gonzàlez-Cambray;0;0;52099
52420;GUINOVART;Josep Guinovart;0;0;52099
52977;JLLNUNEZ;Josep LLuís Nuñez;0;0;52104
53259;TRAPERO;Josep Lluís Trapero ;0;0;52099
52465;BALLARIN;Josep Maria Ballarín i Montset;0;0;52099
52403;BARDAGI;Josep Maria Bardagí;0;0;52099
52424;BARTOMEU;Josep Maria Bartomeu;0;0;52104
54629;JMFLOTATS;Josep Maria Flotats;0;0;52099
52594;PALAUIFABRE;Josep Palau i Fabre;0;0;52099
52753;JOSEPRULL;Josep Rull;0;0;52099
52554;FOIX;Josep Vicenç Foix;0;0;52099
53106;GUAIDO;Juan Guaidó;0;1;52099
53395;JUANMAMORENO;Juan Manuel Moreno;0;1;52099
53820;JUANMARSE;Juan Marsé;0;0;52099
52938;JUDICIPROCES;Judici procés;0;0;52099
53545;JUDTRAPERO;Judici Trapero;0;1;52099
53067;JUICIOPROCES;Juicio "procés";0;1;52099
53100;JULEN;Julen;0;1;52099
53206;ASSANGE;Julian Assange;0;0;52099
52386;JXCAT;Junts;0;0;52099
54171;KAMALAHARRIS;Kamala Harris;0;0;52099
54554;KAZAKHSTAN;Kazakhstan ;0;0;52099
56184;STARMER;Keir Starmer;0;0;52099
52347;JORNET;Kilian Jornet;0;0;52104
55062;KINGSLEAGUE;Kings League;0;0;52104
54004;KOEMAN;Koeman;0;0;52104
53469;KURDISTAN;Kurdistan;0;0;52099
53470;KURDS;Kurds;0;0;52099
56053;MBAPPE;kylian Mbappé;0;0;52104
53262;LLUNA;La Lluna;0;0;52099
52711;CAT52711;La Manada;0;0;52099
53043;PU_MARATO;La Marató;0;0;52121
54466;LAMERCE;La Mercè;0;0;52099
54464;LAPALMA;La Palma;0;0;52099
52452;LAVOLTA;La Volta;0;0;52104
52451;LAVUELTA;La Vuelta;0;0;52104
56015;ESTRADA;Laia Estrada;0;0;52099
54500;LSANZ;Laia Sanz;0;0;52104
55525;LAMINEYAMAL;Lamine Yamal;0;0;52104
55077;JLAPORTA;Laporta;0;0;52104
52819;LAURABORRAS;Laura Borràs;0;0;52099
55689;LECTURAFACIL;Lectura Fàcil;0;0;52099
52881;LEHMBROTHERS;Lehman Brothers;0;1;52099
54462;CANARIES;Les Canàries ;0;0;52099
55980;PUA_POTPETIT;Les manualitats d'El món del Pot Petit;0;0;54781
54797;LEWANDOWSKI;Lewandowski;0;0;52104
52570;LEZO;Lezo;0;1;52099
52279;LGTBI;LGTBIQ+;0;0;52099
56194;LIBAN;Líban;0;0;52099
